"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",9
"7",10
"8",11
"9",12
"10",13
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",24
"21",25
"22",26
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",43
"37",44
"38",45
"39",46
"40",47
"41",48
"42",50
"43",52
"44",53
"45",54
"46",55
"47",56
"48",57
"49",58
"50",60
"51",61
"52",62
"53",65
"54",67
"55",68
"56",69
"57",70
"58",71
"59",72
"60",73
"61",74
"62",75
"63",78
"64",79
"65",81
"66",82
"67",83
"68",84
"69",85
"70",86
"71",87
"72",88
"73",89
"74",91
"75",92
"76",93
"77",95
"78",96
"79",98
"80",99
"81",100
"82",101
"83",102
"84",104
"85",105
"86",106
"87",107
"88",108
"89",109
"90",111
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
