"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",8
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",17
"16",18
"17",20
"18",21
"19",22
"20",24
"21",25
"22",26
"23",27
"24",28
"25",30
"26",31
"27",33
"28",34
"29",35
"30",36
"31",38
"32",41
"33",42
"34",43
"35",44
"36",45
"37",46
"38",47
"39",48
"40",51
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",63
"52",64
"53",65
"54",67
"55",68
"56",69
"57",72
"58",73
"59",74
"60",76
"61",77
"62",78
"63",79
"64",80
"65",81
"66",82
"67",85
"68",86
"69",87
"70",88
"71",89
"72",90
"73",92
"74",93
"75",94
"76",95
"77",96
"78",97
"79",98
"80",100
"81",101
"82",102
"83",103
"84",105
"85",106
"86",107
"87",108
"88",109
"89",110
"90",111
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
