"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",9
"9",10
"10",11
"11",12
"12",13
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",25
"21",26
"22",27
"23",28
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",37
"31",38
"32",39
"33",40
"34",41
"35",43
"36",45
"37",46
"38",47
"39",48
"40",49
"41",50
"42",51
"43",52
"44",53
"45",54
"46",55
"47",56
"48",58
"49",59
"50",60
"51",61
"52",62
"53",63
"54",65
"55",66
"56",67
"57",68
"58",69
"59",70
"60",71
"61",72
"62",73
"63",74
"64",76
"65",78
"66",79
"67",80
"68",81
"69",82
"70",84
"71",86
"72",87
"73",88
"74",90
"75",91
"76",92
"77",94
"78",98
"79",99
"80",100
"81",102
"82",103
"83",104
"84",105
"85",107
"86",108
"87",109
"88",110
"89",111
"90",112
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
